tipo,longitude,latitude,geometry
Comércio ambulante,-43.186679,-22.921335,POINT(-43.186679 -22.921335)
Feiras,-43.1882526,-22.9122295,POINT(-43.1882526 -22.9122295)
Ocupação de área pública,-43.1872883,-22.9211226,POINT(-43.1872883 -22.9211226)
Poluição sonora,-43.1863882,-22.921276,POINT(-43.1863882 -22.921276)
Poluição sonora,-43.177797,-22.916378,POINT(-43.177797 -22.916378)
Iluminação Pública,-43.2370889,-22.9360903,POINT(-43.2370889 -22.9360903)
Limpeza,-43.2382077,-22.9360785,POINT(-43.2382077 -22.9360785)
Remoção Gratuita,-43.1759738,-22.9312377,POINT(-43.1759738 -22.9312377)
Estacionamento Irregular,-43.2273731,-22.9839446,POINT(-43.2273731 -22.9839446)
Poluição sonora,-43.2223353,-22.9829683,POINT(-43.2223353 -22.9829683)
Poluição sonora,-43.2227213,-22.9820428,POINT(-43.2227213 -22.9820428)
Poluição sonora,-43.1799996,-22.9337607,POINT(-43.1799996 -22.9337607)
Poluição sonora,-43.2254738,-22.9824076,POINT(-43.2254738 -22.9824076)
Poluição sonora,-43.2223353,-22.9829683,POINT(-43.2223353 -22.9829683)
Poluição sonora,-43.1781994,-22.9250817,POINT(-43.1781994 -22.9250817)
Poluição sonora,-43.2227213,-22.9820428,POINT(-43.2227213 -22.9820428)
Poluição sonora,-43.1817727,-22.9563607,POINT(-43.1817727 -22.9563607)
Poluição sonora,-43.1988138,-22.9851666,POINT(-43.1988138 -22.9851666)
Poluição sonora,-43.1946673,-22.9844968,POINT(-43.1946673 -22.9844968)
Postura Municipal,-43.2882233,-22.9045871,POINT(-43.2882233 -22.9045871)
Postura Municipal,-43.2882233,-22.9045871,POINT(-43.2882233 -22.9045871)
Iluminação Pública,-43.3196572,-22.8231775,POINT(-43.3196572 -22.8231775)
Pavimentação,-43.3178639,-22.8735091,POINT(-43.3178639 -22.8735091)
Limpeza,-43.376672,-22.8461518,POINT(-43.376672 -22.8461518)
Manejo Arbóreo,-43.3347992,-22.848378600000004,POINT(-43.3347992 -22.8483786)
Remoção Gratuita,-43.3157977,-22.8432948,POINT(-43.3157977 -22.8432948)
Remoção Gratuita,-43.321864,-22.881842,POINT(-43.321864 -22.881842)
Remoção Gratuita,-43.2963876,-22.9088656,POINT(-43.2963876 -22.9088656)
Estacionamento Irregular,-43.2982032,-22.9027989,POINT(-43.2982032 -22.9027989)
Estacionamento Irregular,-43.2986105,-22.9028866,POINT(-43.2986105 -22.9028866)
Poluição sonora,-43.3103707,-22.8459998,POINT(-43.3103707 -22.8459998)
Poluição sonora,-43.400704000000005,-22.838978,POINT(-43.400704 -22.838978)
Poluição sonora,-43.2759555,-22.8339043,POINT(-43.2759555 -22.8339043)
Poluição sonora,-43.31917,-22.8289747,POINT(-43.31917 -22.8289747)
Poluição sonora,-43.2637481,-22.8446599,POINT(-43.2637481 -22.8446599)
Postura Municipal,-43.2882233,-22.9045871,POINT(-43.2882233 -22.9045871)
Postura Municipal,-43.2882233,-22.9045871,POINT(-43.2882233 -22.9045871)
Estacionamento Irregular,-43.3374538,-23.0091735,POINT(-43.3374538 -23.0091735)
Estacionamento Irregular,-43.3376669,-23.0100851,POINT(-43.3376669 -23.0100851)
Estacionamento Irregular,-43.3219,-23.0101685,POINT(-43.3219 -23.0101685)
Iluminação Pública,-43.3730297,-22.9746326,POINT(-43.3730297 -22.9746326)
Iluminação Pública,-43.3714843,-22.9243085,POINT(-43.3714843 -22.9243085)
Pavimentação,-43.3614333,-22.9173627,POINT(-43.3614333 -22.9173627)
Limpeza,-43.3487962,-22.9311496,POINT(-43.3487962 -22.9311496)
Programa Cegonha Carioca,-43.3336748,-22.9786046,POINT(-43.3336748 -22.9786046)
Poluição sonora,-43.305044400000007,-23.0118117,POINT(-43.3050444 -23.0118117)
Poluição sonora,-43.3039235,-23.0114735,POINT(-43.3039235 -23.0114735)
Iluminação Pública,-43.5625661,-22.916721400000004,POINT(-43.5625661 -22.9167214)
Semáforo,-43.455509000000006,-22.862619,POINT(-43.455509 -22.862619)
Ocupação de área pública,-43.5611465,-22.906498300000003,POINT(-43.5611465 -22.9064983)
Ocupação de área pública,-43.455952,-22.8714502,POINT(-43.455952 -22.8714502)
Limpeza,-43.562628300000007,-22.9167715,POINT(-43.5626283 -22.9167715)
Limpeza,-43.417526699999996,-22.887766199999998,POINT(-43.4175267 -22.8877662)
Poluição sonora,-43.563247,-22.8796648,POINT(-43.563247 -22.8796648)
Poluição sonora,-43.537462,-22.891154,POINT(-43.537462 -22.891154)
