Evento,id_chamado,tipo,subtipo,id_bairro,situacao,tipo_situacao,status
Carnaval,18329415,Poluição sonora,Perturbação do sossego,93,Não Encerrado,Andamento,Aberto
Carnaval,18329324,Poluição sonora,Perturbação do sossego,128,Não Encerrado,Andamento,Aberto
Carnaval,18328889,Poluição sonora,Perturbação do sossego,33,Encerrado,Não atendido,Cancelado
Carnaval,18334332,Poluição sonora,Perturbação do sossego,89,Encerrado,Não constatado,Não constatado
Carnaval,18333678,Poluição sonora,Perturbação do sossego,144,Encerrado,Não constatado,Não constatado
Carnaval,18334673,Poluição sonora,Perturbação do sossego,40,Encerrado,Não constatado,Não constatado
Carnaval,18333244,Poluição sonora,Perturbação do sossego,74,Encerrado,Não constatado,Não constatado
Carnaval,18333985,Poluição sonora,Perturbação do sossego,26,Encerrado,Não constatado,Não constatado
Carnaval,18333196,Poluição sonora,Perturbação do sossego,33,Encerrado,Não constatado,Não constatado
Carnaval,18332736,Poluição sonora,Perturbação do sossego,128,Encerrado,Não constatado,Não constatado
Carnaval,18332750,Poluição sonora,Perturbação do sossego,63,Encerrado,Não constatado,Não constatado
Carnaval,18329881,Poluição sonora,Perturbação do sossego,90,Encerrado,Não constatado,Não constatado
Carnaval,18331114,Poluição sonora,Perturbação do sossego,132,Encerrado,Não constatado,Não constatado
Carnaval,18329570,Poluição sonora,Perturbação do sossego,64,Encerrado,Não constatado,Não constatado
Carnaval,18329017,Poluição sonora,Perturbação do sossego,91,Encerrado,Não constatado,Não constatado
Carnaval,18328428,Poluição sonora,Perturbação do sossego,64,Encerrado,Não constatado,Não constatado
Carnaval,18328436,Poluição sonora,Perturbação do sossego,64,Encerrado,Não constatado,Não constatado
Carnaval,18328421,Poluição sonora,Perturbação do sossego,64,Encerrado,Não constatado,Não constatado
Carnaval,18329531,Poluição sonora,Perturbação do sossego,83,Encerrado,Não constatado,Não constatado
Carnaval,18328417,Poluição sonora,Perturbação do sossego,64,Encerrado,Não constatado,Não constatado
Carnaval,18327558,Poluição sonora,Perturbação do sossego,149,Encerrado,Não constatado,Não constatado
Carnaval,18332434,Poluição sonora,Perturbação do sossego,149,Encerrado,Não constatado,Não constatado
Carnaval,18331560,Poluição sonora,Perturbação do sossego,52,Encerrado,Não constatado,Não constatado
